reel,creator,hook,name,category,subcategory,destination,region,city,area,location_text,website,date_info,price_text,themes,confidence,saved_from,needs_location,needs_website,date_required,source_reel
DTwAnH7EThD,thefloridaqueenie,Hidden cliffs inside a secret spring lake,Lost Spring Lake,nature,natural-landmark,florida,,Ocala,,"8045 NW Gainesville Rd, Ocala, FL 34475",,Highlighted as a January pick,,"hidden-gem, nature, free",medium,1,Y,,,https://www.instagram.com/reel/DTwAnH7EThD/
DTwAnH7EThD,thefloridaqueenie,Gulf sunsets on a tucked-away barrier island,Whitney Beach,nature,beach,florida,Gulf Coast,Longboat Key,,"N Shore Rd, Longboat Key, FL 34228",,Highlighted as a February pick,,"hidden-gem, nature, photo-spot",medium,1,Y,,Y,https://www.instagram.com/reel/DTwAnH7EThD/
DU0j1h7kb5q,thefloridaqueenie,Florida's only dog-friendly dinosaur theme park,Dinosaur World,see-do,experience,florida,,Plant City,,"Dinosaur World, Plant City, FL",https://dinosaurworld.com,,,"family, bucket-list",high,1,Y,Y,,https://www.instagram.com/reel/DU0j1h7kb5q/
DU3Lq4xkVWc,thefloridaqueenie,"Snow tubing in subtropical Florida, for real",Snowcat Ridge,see-do,experience,florida,,Dade City,,"27839 Saint Joe Rd, Dade City, FL 33525",,"Seasonal: open through approximately March 1, 2026; hours roughly 10 AM–11 PM",From ~$27.95 online (higher at the gate),"seasonal, family, bucket-list",high,1,Y,Y,,https://www.instagram.com/reel/DU3Lq4xkVWc/
DU5s6t3EUFU,thefloridaqueenie,Quartz sand paradise on the Gulf,Siesta Key Beach,nature,beach,florida,Gulf Coast,Sarasota,Siesta Key,"Siesta Key Beach, Siesta Key, Sarasota, Florida",,,free,"photo-spot, nature, bucket-list",high,4,Y,,Y,https://www.instagram.com/reel/DU5s6t3EUFU/
DU8ifZakYxP,thefloridaqueenie,Dali's melting clocks in downtown St. Pete,The Dali Museum,see-do,museum-gallery,florida,Gulf Coast,St. Petersburg,Downtown Arts District,"1 Dali Blvd, Saint Petersburg, FL 33701",https://thedali.org,,,"bucket-list, photo-spot",high,1,Y,Y,,https://www.instagram.com/reel/DU8ifZakYxP/
DUO6ODnEWfO,thefloridaqueenie,All-inclusive tropical island inside Orlando,Discovery Cove,see-do,experience,florida,,Orlando,,"Discovery Cove, Orlando, FL",https://www.discoverycove.com,,,"bucket-list, family, luxury",high,1,Y,Y,,https://www.instagram.com/reel/DUO6ODnEWfO/
DURfAWHEV-5,thefloridaqueenie,Pet fluffy Highland cows in Florida,Cow Creek Farm,see-do,experience,florida,Central Florida,Plant City,,"Cow Creek Farm, Plant City, Florida",,,,"family, hidden-gem",high,1,Y,Y,,https://www.instagram.com/reel/DURfAWHEV-5/
DUlDpUMjZnK,thefloridaqueenie,"Tampa's best burger, no debate",Doc B's Restaurant + Bar,eat,restaurant,florida,,Tampa,International Plaza & Bay Street,"2223 N Westshore Blvd, Tampa, FL 33607",https://www.docbsrestaurant.com,,,food,high,1,Y,Y,,https://www.instagram.com/reel/DUlDpUMjZnK/
DVBeUoGkUuC,thefloridaqueenie,Florida fever dream you walk inside,FloridaRAMA,see-do,experience,florida,,St. Petersburg,,"FloridaRAMA, St. Petersburg, Florida",,,,"hidden-gem, photo-spot",medium,2,Y,Y,,https://www.instagram.com/reel/DVBeUoGkUuC/
DVGswzRkeZW,thefloridaqueenie,Swim with manatees in crystal water,Three Sisters Springs,nature,natural-landmark,florida,Nature Coast,Crystal River,,"917 Three Sisters Springs Trail, Crystal River, FL",,Manatee season November through March for peak wildlife viewing,,"nature, bucket-list, photo-spot, seasonal",high,1,Y,,,https://www.instagram.com/reel/DVGswzRkeZW/
DVL8k-4kWv1,thefloridaqueenie,Luxury Orlando resort with a lazy river,JW Marriott Orlando Grande Lakes,stay,resort,florida,Central Florida,Orlando,Grande Lakes,"JW Marriott Orlando Grande Lakes, Orlando, Florida",https://www.marriott.com/en-us/hotels/mcogl-jw-marriott-orlando-grande-lakes/overview/,,,"luxury, family, bucket-list",high,1,Y,Y,,https://www.instagram.com/reel/DVL8k-4kWv1/
DVL8k-4kWv1,thefloridaqueenie,Michelin chef burgers poolside in Orlando,Knife Burger at JW Marriott Grande Lakes,eat,restaurant,florida,Central Florida,Orlando,Grande Lakes,"JW Marriott Orlando Grande Lakes, Orlando, Florida",,,,"luxury, food",medium,1,Y,Y,,https://www.instagram.com/reel/DVL8k-4kWv1/
DVL8k-4kWv1,thefloridaqueenie,Farm-to-table Southern flair in a resort,Whisper Creek Kitchen,eat,restaurant,florida,Central Florida,Orlando,Grande Lakes,"JW Marriott Orlando Grande Lakes, Orlando, Florida",,,,"luxury, food",medium,1,Y,Y,,https://www.instagram.com/reel/DVL8k-4kWv1/
DVL8k-4kWv1,thefloridaqueenie,Authentic Italian inside a Florida resort,Primo Restaurant,eat,fine-dining,florida,Central Florida,Orlando,Grande Lakes,"JW Marriott Orlando Grande Lakes, Orlando, Florida",,,,"luxury, food",medium,1,Y,Y,,https://www.instagram.com/reel/DVL8k-4kWv1/
DVWEe6lkQfw,thefloridaqueenie,"Florida strawberry festival, free for heroes",Florida Strawberry Festival,see-do,experience,florida,Central Florida,Plant City,,"303 Berryfest Place, Plant City, FL",,Festival runs Feb 26 – March 8; American Heroes Day (free for first responders/military/healthcare) is March 4,Free admission for eligible heroes on March 4 with valid ID,"seasonal, free, family",high,1,Y,Y,,https://www.instagram.com/reel/DVWEe6lkQfw/
DVYiupnETgD,thefloridaqueenie,Sleep inside a living art gallery,The Alfond Inn,stay,boutique-hotel,florida,Central Florida,Winter Park,Park Avenue,"300 E New England Ave, Winter Park, FL 32789",https://www.alfondinn.com,,,"luxury, hidden-gem, photo-spot",high,1,Y,Y,,https://www.instagram.com/reel/DVYiupnETgD/
DVbPsZikZSn,thefloridaqueenie,A causeway beach with kayaks and palms,Fred Howard Park,nature,beach,florida,Gulf Coast,Tarpon Springs,,"1700 Sunset Drive, Tarpon Springs, FL 34689",,Closed day after Thanksgiving and December 25,$6 per day per car,"hidden-gem, nature, budget, family",high,1,Y,,Y,https://www.instagram.com/reel/DVbPsZikZSn/
DW4J88Ziba7,thefloridaqueenie,Dine inside a storybook Tudor cottage,Cobbin Pen,eat,restaurant,florida,Central Florida,Lakeland,,"Cobbin Pen, Lakeland, FL",,,,"hidden-gem, bucket-list, photo-spot",medium,1,Y,Y,,https://www.instagram.com/reel/DW4J88Ziba7/
DX35x4KlBUu,thefloridaqueenie,Waterfront brunch with sourdough and mimosas,North Shore Cafe,eat,cafe,florida,Gulf Coast,Anna Maria,Anna Maria Island,"304 Pine Avenue, Anna Maria, FL",,,,"hidden-gem, food, nature",high,1,Y,,,https://www.instagram.com/reel/DX35x4KlBUu/
DX4K1Q0j8Wz,thefloridaqueenie,Glamping in a state park near the coast,Timberline Glamping at Oscar Scherer State Park,stay,unique-stay,florida,Gulf Coast,Osprey,Oscar Scherer State Park,"Oscar Scherer State Park, 1843 S Tamiami Trail, Osprey, FL 34229",https://www.timberlineglamping.com,,,"nature, hidden-gem, family, bucket-list",high,1,Y,Y,,https://www.instagram.com/reel/DX4K1Q0j8Wz/
DX6voJvj8q0,thefloridaqueenie,Tampa's most luxurious waterfront weekend,Tampa Water Street Weekend Itinerary,itinerary,weekend,florida,Tampa Bay,Tampa,Water Street / Downtown,"JW Marriott Tampa Water Street, 510 Water St, Tampa, FL 33602",,,,"luxury, nightlife, bucket-list",high,1,Y,,Y,https://www.instagram.com/reel/DX6voJvj8q0/
DX6voJvj8q0,thefloridaqueenie,Tampa's free trolley unlocks the whole city,TECO Line Streetcar,plan,transit,florida,Tampa Bay,Tampa,Downtown,"TECO Line Streetcar, Tampa, FL",,,Free,"budget, free",high,1,,,,https://www.instagram.com/reel/DX6voJvj8q0/
DX6voJvj8q0,thefloridaqueenie,Rooftop cocktails over all of Tampa Bay,Beacon Tampa,drink,rooftop,florida,Tampa Bay,Tampa,Water Street,"Beacon Tampa, 510 Water St (27th floor), Tampa, FL 33602",,,,"luxury, nightlife, photo-spot",high,1,Y,Y,,https://www.instagram.com/reel/DX6voJvj8q0/
DX6voJvj8q0,thefloridaqueenie,Waterfront food stalls and cold craft beer,Sparkman Wharf,eat,food-hall,florida,Tampa Bay,Tampa,Channelside,"Sparkman Wharf, 615 Channelside Dr, Tampa, FL 33602",https://www.sparkmanwharf.com,,,"food, nightlife, family",high,1,Y,Y,,https://www.instagram.com/reel/DX6voJvj8q0/
DX9URXaFd1k,thefloridaqueenie,Skip Orlando — feed swans in Swan City,Lake Morton,nature,park-garden,florida,Central Florida,Lakeland,,"Lake Morton, Lakeland, FL",,,Free,"free, hidden-gem, family, nature",high,1,Y,,,https://www.instagram.com/reel/DX9URXaFd1k/
DX9URXaFd1k,thefloridaqueenie,Abandoned train tracks over dolphin waters,Boca Grande Rail Trail / Gasparilla Island,see-do,experience,florida,Gulf Coast,Boca Grande,Gasparilla Island,"Gasparilla Island, Boca Grande, FL",,,,"hidden-gem, nature, photo-spot",medium,1,Y,Y,,https://www.instagram.com/reel/DX9URXaFd1k/
DXErRMQjcef,thefloridaqueenie,The world's only orchid-obsessed bayfront garden,Selby Botanical Gardens,nature,park-garden,florida,Gulf Coast,Sarasota,,"900 S Palm Ave, Sarasota, FL 34236",https://www.selby.org,,,"nature, photo-spot, hidden-gem, family",high,1,Y,,,https://www.instagram.com/reel/DXErRMQjcef/
DXO-SRcDJZ_,thefloridaqueenie,Your perfect Sarasota weekend stolen,Sarasota Weekend Itinerary,itinerary,weekend,florida,Gulf Coast,Sarasota,,"Sarasota, Florida",,,,"bucket-list, day-trip, food",high,1,Y,,Y,https://www.instagram.com/reel/DXO-SRcDJZ_/
DXO-SRcDJZ_,thefloridaqueenie,Koi ponds meet world-class orchids,Marie Selby Botanical Gardens,see-do,experience,florida,Gulf Coast,Sarasota,Downtown Sarasota,"1534 Mound Street, Sarasota, Florida",https://www.selby.org,Holiday Christmas lights display not to be missed; closed Christmas Day,$28 per person,"nature, photo-spot",high,3,Y,Y,,https://www.instagram.com/reel/DXO-SRcDJZ_/
DXO-SRcDJZ_,thefloridaqueenie,Breakfast toasts worth flying in for,Toastique,eat,cafe,florida,Gulf Coast,Sarasota,Downtown Sarasota,"Toastique, Downtown Sarasota, Florida",https://www.toastique.com,,,food,high,1,Y,,,https://www.instagram.com/reel/DXO-SRcDJZ_/
DXO-SRcDJZ_,thefloridaqueenie,Focaccia sandwiches you'll dream about,Focaccia Sandwich and Bakery,eat,bakery-dessert,florida,Gulf Coast,Sarasota,Siesta Key,"Focaccia Sandwich and Bakery, Siesta Key, Sarasota, Florida",,,,"food, hidden-gem",high,1,Y,,,https://www.instagram.com/reel/DXO-SRcDJZ_/
DXO-SRcDJZ_,thefloridaqueenie,Beachy bites with live patio music,The Cottage on Siesta Key,eat,restaurant,florida,Gulf Coast,Sarasota,Siesta Key,"The Cottage, Siesta Key, Sarasota, Florida",,,,"food, nightlife",high,1,Y,Y,,https://www.instagram.com/reel/DXO-SRcDJZ_/
DXRi6HLDO8r,thefloridaqueenie,A free fairy-tale museum in Sarasota,Marietta Museum of Art and Whimsy,see-do,museum-gallery,florida,Gulf Coast,Sarasota,,"Marietta Museum of Art and Whimsy, Sarasota, Florida",,"Open November through May, Thu-Sat 1pm-4pm only",Free (donation requested),"hidden-gem, free, family",high,1,Y,Y,,https://www.instagram.com/reel/DXRi6HLDO8r/
DXUIFDKDPwh,thefloridaqueenie,Venice Florida in one perfect day,"Venice, Florida Weekend Itinerary",itinerary,day-trip,florida,Gulf Coast,Venice,,"Venice, Florida",,,,"hidden-gem, day-trip, food",high,1,Y,,Y,https://www.instagram.com/reel/DXUIFDKDPwh/
DXUIFDKDPwh,thefloridaqueenie,Stay steps from the Gulf in Venice,Inn at the Beach,stay,hotel,florida,Gulf Coast,Venice,,"Inn at the Beach, Venice, Florida",,,,bucket-list,medium,1,Y,Y,,https://www.instagram.com/reel/DXUIFDKDPwh/
DXUIFDKDPwh,thefloridaqueenie,Circus train history you can walk through,Venice Train Depot & Ringling Brothers Circus Museum,see-do,landmark,florida,Gulf Coast,Venice,Historic Downtown Venice,"Venice Train Depot, Venice, Florida",,,free,"hidden-gem, free, bucket-list",high,1,Y,,,https://www.instagram.com/reel/DXUIFDKDPwh/
DXUIFDKDPwh,thefloridaqueenie,Pizza slices the size of your head,The Soda Fountain,eat,restaurant,florida,Gulf Coast,Venice,Historic Downtown Venice,"The Soda Fountain, Venice, Florida",,,,"food, hidden-gem",high,1,Y,Y,,https://www.instagram.com/reel/DXUIFDKDPwh/
DXg_2nGFLgO,thefloridaqueenie,Pick the right Florida beach sand,Siesta Key vs Venice Beach: Sand Guide,plan,what-to-skip,florida,Gulf Coast,,,,,,,"budget, nature",high,1,,,,https://www.instagram.com/reel/DXg_2nGFLgO/
DXjksSRkYRR,thefloridaqueenie,Old Florida island with no traffic lights,"Boca Grande, Gasparilla Island",itinerary,day-trip,florida,Gulf Coast,Boca Grande,Gasparilla Island,"Boca Grande, Gasparilla Island, Florida",,,$6 toll to cross the Boca Grande Causeway,"hidden-gem, bucket-list, day-trip",high,1,Y,,Y,https://www.instagram.com/reel/DXjksSRkYRR/
DXjksSRkYRR,thefloridaqueenie,The most beautiful library you've seen,Johann Fust Community Library,see-do,landmark,florida,Gulf Coast,Boca Grande,Gasparilla Island,"Johann Fust Community Library, Boca Grande, Florida",,,,"hidden-gem, free",high,1,Y,,,https://www.instagram.com/reel/DXjksSRkYRR/
DXjksSRkYRR,thefloridaqueenie,Climb a lighthouse moved across America,Gasparilla Island Lighthouse,see-do,landmark,florida,Gulf Coast,Boca Grande,Gasparilla Island,"Gasparilla Island Lighthouse, Boca Grande, Florida",,,,"photo-spot, bucket-list",high,2,Y,,,https://www.instagram.com/reel/DXjksSRkYRR/
DXjksSRkYRR,thefloridaqueenie,A ramshackle marina from 1925 still alive,Whidden's Marina,see-do,landmark,florida,Gulf Coast,Boca Grande,Gasparilla Island,"Whidden's Marina, Boca Grande, Florida",,,,hidden-gem,high,1,Y,,,https://www.instagram.com/reel/DXjksSRkYRR/
DXrTAwlDQdX,thefloridaqueenie,Venice Florida's cutest day trip guide,"Venice, Florida Day Trip Itinerary",itinerary,day-trip,florida,Gulf Coast,Venice,,"Venice, Florida",,,,"day-trip, food, budget",high,1,Y,,Y,https://www.instagram.com/reel/DXrTAwlDQdX/
DXrTAwlDQdX,thefloridaqueenie,Hunt for shark teeth at this dark beach,Caspersen Beach,nature,beach,florida,Gulf Coast,Venice,,"Caspersen Beach, Venice, Florida",,,free,"hidden-gem, free, nature, family",high,2,Y,,Y,https://www.instagram.com/reel/DXrTAwlDQdX/
DXrTAwlDQdX,thefloridaqueenie,Sunset drum circle on Venice Beach,Venice Beach Drum Circle,see-do,experience,florida,Gulf Coast,Venice,,"Venice Beach Pavilion, Venice, Florida",,,free,"free, hidden-gem, nightlife",high,1,Y,Y,,https://www.instagram.com/reel/DXrTAwlDQdX/
DXrTAwlDQdX,thefloridaqueenie,Dog-friendly brewery with smash burgers,Three Bridges Brewing,drink,brewery,florida,Gulf Coast,Venice,,"Three Bridges Brewing, Venice, Florida",,,,"food, budget",high,1,Y,,,https://www.instagram.com/reel/DXrTAwlDQdX/
DXrTAwlDQdX,thefloridaqueenie,Gulf-view craft cocktails at Finn's,Finn's on the Pier,drink,cocktail-bar,florida,Gulf Coast,Venice,,"Finn's on the Pier, Venice, Florida",,,,nightlife,medium,1,Y,Y,,https://www.instagram.com/reel/DXrTAwlDQdX/
DXt30j5Ctjv,thefloridaqueenie,Three magical Sarasota places to save,Sarasota's 3 Magical Attractions,list,themed-collection,florida,Gulf Coast,Sarasota,,"Sarasota, Florida",,,,"bucket-list, family",high,1,,,,https://www.instagram.com/reel/DXt30j5Ctjv/
DXwcs0IkuxS,thefloridaqueenie,Florida's most beautiful island town awaits,Boca Grande Day Trip Guide,itinerary,day-trip,florida,Gulf Coast,Boca Grande,Gasparilla Island,"Boca Grande, Gasparilla Island, Florida",,,,"bucket-list, hidden-gem, day-trip",high,1,Y,,Y,https://www.instagram.com/reel/DXwcs0IkuxS/
DXwcs0IkuxS,thefloridaqueenie,Step into Boca Grande's grand 1911 hotel,The Gasparilla Inn and Club,stay,resort,florida,Gulf Coast,Boca Grande,Gasparilla Island,"The Gasparilla Inn and Club, Boca Grande, Florida",https://www.gasparillainn.com,,,"luxury, bucket-list, photo-spot",high,1,Y,Y,,https://www.instagram.com/reel/DXwcs0IkuxS/
DXwcs0IkuxS,thefloridaqueenie,Best lobster roll outside of Maine,Newlin's Gourmet,eat,restaurant,florida,Gulf Coast,Boca Grande,Gasparilla Island,"Newlin's Gourmet, Boca Grande, Florida",,,,"food, bucket-list",high,2,Y,Y,,https://www.instagram.com/reel/DXwcs0IkuxS/
DXwcs0IkuxS,thefloridaqueenie,Ice cream cones on a legendary island,The Pink Pony,eat,bakery-dessert,florida,Gulf Coast,Boca Grande,Gasparilla Island,"The Pink Pony, Boca Grande, Florida",,,,"hidden-gem, food",high,1,Y,,,https://www.instagram.com/reel/DXwcs0IkuxS/
DY4i0NZAanC,thefloridaqueenie,Beachfront dining with a fishing pier,Sharky's Beach,eat,restaurant,florida,Gulf Coast,Venice,,"Sharky's on the Pier, Venice, Florida",,,,"food, nature",medium,1,Y,Y,,https://www.instagram.com/reel/DY4i0NZAanC/
DY4i0NZAanC,thefloridaqueenie,A banyan-lined boulevard to the beach,Venice Avenue,see-do,experience,florida,Gulf Coast,Venice,Downtown Venice,"Venice Avenue, Venice, Florida",,,free,"free, photo-spot, nature",high,1,Y,Y,,https://www.instagram.com/reel/DY4i0NZAanC/
DY7NbysEyRa,thefloridaqueenie,Historic boutique hotel with a pool,The Fenway Hotel,stay,boutique-hotel,florida,Gulf Coast,Dunedin,,"453 Edgewater Drive, Dunedin, FL",,,,"luxury, bucket-list",high,1,Y,Y,,https://www.instagram.com/reel/DY7NbysEyRa/
DY7NbysEyRa,thefloridaqueenie,"Order the filet, trust the buzz",Hew Parlor and Chophouse,eat,fine-dining,florida,Gulf Coast,Dunedin,,"453 Edgewater Drive, Dunedin, FL",,,,"luxury, food",medium,1,Y,Y,,https://www.instagram.com/reel/DY7NbysEyRa/
DY7NbysEyRa,thefloridaqueenie,Sunset cocktails above Dunedin's rooftops,Hi-Fi Rooftop Bar,drink,rooftop,florida,Gulf Coast,Dunedin,,"453 Edgewater Drive, Dunedin, FL",,,,"nightlife, photo-spot",medium,1,Y,Y,,https://www.instagram.com/reel/DY7NbysEyRa/
DY9tZcQD3L_,thefloridaqueenie,A fairy-tale tower that sings on the hour,Bok Tower Gardens,nature,park-garden,florida,Central Florida,Lake Wales,,"1151 Tower Blvd, Lake Wales, FL",https://boktowergardens.org,,$20 adults; $10 extra for El Retiro mansion interior tour,"hidden-gem, nature, family, photo-spot",high,2,Y,,,https://www.instagram.com/reel/DY9tZcQD3L_/
DYCd0Wqkzl5,thefloridaqueenie,"Sarasota's perfect day, start to sunset",Sarasota Day Trip Itinerary,itinerary,day-trip,florida,Gulf Coast,Sarasota,,"Sarasota, Florida",,,,"day-trip, food, nature",high,1,Y,,Y,https://www.instagram.com/reel/DYCd0Wqkzl5/
DYCd0Wqkzl5,thefloridaqueenie,Inventive focaccia sandwiches worth queuing for,Focaccia Sandwich + Bakery,eat,bakery-dessert,florida,Gulf Coast,Sarasota,,"Focaccia Sandwich + Bakery, Sarasota, Florida",,,,"food, hidden-gem",medium,1,Y,,,https://www.instagram.com/reel/DYCd0Wqkzl5/
DYCd0Wqkzl5,thefloridaqueenie,"Live music, back patio, island vibes",The Cottage,eat,restaurant,florida,Gulf Coast,Sarasota,Siesta Key Village,"The Cottage, Siesta Key Village, Sarasota, Florida",,,,"nightlife, food",medium,1,Y,Y,,https://www.instagram.com/reel/DYCd0Wqkzl5/
DYFCtWvmYgr,thefloridaqueenie,Shade snow that takes 45 minutes to melt,Vampire Penguin,eat,bakery-dessert,florida,Gulf Coast,Ellenton,North River Village,"6202 US-301, Ellenton, Florida 34222",,Open daily 12–9pm (12–6pm Sundays),,"family, hidden-gem, food",high,1,Y,,,https://www.instagram.com/reel/DYFCtWvmYgr/
DYKMUbRDAdP,thefloridaqueenie,"Tampa's highest rooftop, limitless waterfront views",Beacon,drink,rooftop,florida,Gulf Coast,Tampa,Downtown Tampa,"510 Water Street, Tampa, Florida (JW Marriott Tampa Water Street)",,,,"nightlife, luxury, photo-spot",high,1,Y,Y,,https://www.instagram.com/reel/DYKMUbRDAdP/
DYPWAn-gUAj,thefloridaqueenie,A home turned into a mosaic wonderland,Whimzeyland,see-do,experience,florida,Gulf Coast,Safety Harbor,,"1206 3rd St N, Safety Harbor, Florida 34695",,,free,"hidden-gem, free, photo-spot, day-trip",high,1,Y,Y,,https://www.instagram.com/reel/DYPWAn-gUAj/
DYUfrxVgbpe,thefloridaqueenie,"Crystal water, manatees, and a Civil War fort",Fort De Soto Park,nature,park-garden,florida,Gulf Coast,St. Petersburg,,"Fort De Soto Park, St. Petersburg, Florida",,,,"hidden-gem, nature, family, bucket-list",high,1,Y,,,https://www.instagram.com/reel/DYUfrxVgbpe/
DYZpapHlFMb,thefloridaqueenie,Florida's prettiest dog-friendly downtown,"Dunedin, Florida",itinerary,neighborhood-walk,florida,Gulf Coast,Dunedin,,"Downtown Dunedin, Florida",,,,"hidden-gem, day-trip, nature, nightlife",high,1,Y,,Y,https://www.instagram.com/reel/DYZpapHlFMb/
DYcOJ6WjRbB,thefloridaqueenie,"The perfect Dunedin weekend, stolen",Dunedin Weekend Itinerary,itinerary,multi-day,florida,Gulf Coast,Dunedin,,"Dunedin, Florida",,,,"day-trip, food, nightlife, nature",high,1,Y,,Y,https://www.instagram.com/reel/DYcOJ6WjRbB/
DYcOJ6WjRbB,thefloridaqueenie,Cocktails on a slowly spinning carousel,Dunedin Mix,drink,cocktail-bar,florida,Gulf Coast,Dunedin,Downtown Dunedin,"Dunedin Mix, Dunedin, Florida",,,,"hidden-gem, nightlife",medium,1,Y,Y,,https://www.instagram.com/reel/DYcOJ6WjRbB/
DYcOJ6WjRbB,thefloridaqueenie,Craft cocktails in a very cool vibe,Sonder Social Club,drink,cocktail-bar,florida,Gulf Coast,Dunedin,Downtown Dunedin,"Sonder Social Club, Dunedin, Florida",,,,"nightlife, hidden-gem",medium,1,Y,Y,,https://www.instagram.com/reel/DYcOJ6WjRbB/
DYey6rBCBx6,thefloridaqueenie,One of 74 canopy walks in the world,Myakka River State Park Canopy Walk,nature,hike-trail,florida,Gulf Coast,Sarasota,,"Myakka River State Park, Sarasota, Florida",,Open 8am–sunset,~$2–$6 entry per person,"hidden-gem, nature, budget, free",high,1,Y,,,https://www.instagram.com/reel/DYey6rBCBx6/
DYrqviglFQg,thefloridaqueenie,Greece without leaving Florida,Tarpon Springs,itinerary,neighborhood-walk,florida,Gulf Coast,Tarpon Springs,,"Tarpon Springs, Florida",,,,"hidden-gem, food, bucket-list",high,1,Y,,Y,https://www.instagram.com/reel/DYrqviglFQg/
DYrqviglFQg,thefloridaqueenie,Authentic Greek tables on the Gulf,Hellas Restaurant,eat,restaurant,florida,Gulf Coast,Tarpon Springs,Sponge Docks,"Hellas Restaurant, Tarpon Springs, FL",,,,"food, hidden-gem",high,1,Y,Y,,https://www.instagram.com/reel/DYrqviglFQg/
DYrqviglFQg,thefloridaqueenie,Freshest seafood on the sponge docks,Rusty Bellies Waterfront Grill,eat,restaurant,florida,Gulf Coast,Tarpon Springs,Sponge Docks,"Rusty Bellies Waterfront Grill, Tarpon Springs, FL",,,,"food, hidden-gem",high,1,Y,Y,,https://www.instagram.com/reel/DYrqviglFQg/
DYrqviglFQg,thefloridaqueenie,"Free rum tour, zero regrets",Tarpon Springs Distillery,drink,speakeasy,florida,Gulf Coast,Tarpon Springs,,"Tarpon Springs Distillery, Tarpon Springs, FL",,,Free tour and tasting,"free, hidden-gem, food",high,1,Y,,,https://www.instagram.com/reel/DYrqviglFQg/
DYrqviglFQg,thefloridaqueenie,Live music and great nachos in a Greek town,Better Days Brewery,drink,brewery,florida,Gulf Coast,Tarpon Springs,,"Better Days Brewery, Tarpon Springs, FL",,,,"hidden-gem, food, nightlife",medium,1,Y,,,https://www.instagram.com/reel/DYrqviglFQg/
